D,E
31.672769,4105.742180
32.748244,4219.696233
32.139579,4169.299508
32.421795,4218.404961
32.511850,4179.299420
33.564993,4391.337668
32.438590,4174.178837
32.879477,4233.058094
32.723380,4241.100032
32.882739,4281.220316
33.378995,4335.136978
32.852401,4226.521297
32.822010,4267.333882
33.926739,4414.353261
33.049973,4254.049135
32.396506,4199.892649
32.637180,4202.676052
33.048172,4299.982809
32.595182,4214.310295
32.263427,4183.338349
32.459600,4136.281392
33.443767,4324.924297
33.788344,4397.809008
32.521186,4176.699632
32.829109,4225.466117
32.406127,4159.346359
33.746323,4383.835566
33.813587,4423.378407
33.224215,4287.923710
32.295374,4142.012402
33.967242,4449.380927
32.069278,4127.906335
33.043883,4272.176086
32.569366,4173.708924
32.881498,4269.534758
33.073850,4300.448266
32.575442,4224.976284
32.139332,4128.189695
32.209351,4187.492129
32.605349,4234.423742
33.101647,4324.562395
32.742807,4219.179276
32.260930,4184.059076
32.653456,4198.910255
33.421260,4362.414118
31.923989,4102.960234
33.191333,4279.785445
32.531445,4170.002751
31.633845,4070.621921
33.644508,4378.334349
33.730741,4344.115129
32.531154,4181.152915
32.926232,4301.259079
33.452073,4339.760278
33.168276,4289.037430
32.164039,4156.793931
33.026078,4237.328800
32.278048,4146.775581
33.423159,4338.721118
33.513617,4357.700442
32.931671,4268.153007
33.102464,4360.589781
33.046014,4285.967815
32.245663,4123.569340
33.366751,4335.738891
33.112647,4288.436531
33.155171,4287.236389
32.644971,4239.457265
33.372178,4333.292970
33.945271,4412.274564
32.017195,4160.293400
32.959836,4259.845651
32.351848,4186.609545
32.594514,4168.624776
32.715357,4226.670125
32.647027,4240.093732
33.287713,4361.528415
32.306970,4195.275717
33.306522,4285.712981
33.469929,4340.473366
33.077744,4327.308850
33.128809,4319.645585
32.128313,4112.403247
32.529051,4215.209866
32.242724,4170.827501
33.499802,4376.156028
32.484292,4238.831192
32.589535,4175.501043
32.333630,4202.304764
32.127090,4139.970852
33.427864,4341.367082
32.445495,4196.921493
32.738911,4224.716178
32.365695,4191.650398
32.601657,4201.985626
33.882676,4390.096985
32.748768,4256.239655
31.412700,4060.121063
31.839944,4090.967106
33.471826,4359.354982
32.861688,4179.892014
33.317293,4330.388251
32.568891,4171.180512
32.687052,4200.921649
32.619106,4206.591702
32.384769,4207.869020
32.548115,4171.423967
32.497543,4198.727682
32.325253,4214.569588
32.704236,4271.524132
32.293570,4125.530311
33.603423,4339.294028
32.154601,4141.879674
33.098939,4291.254189
33.598426,4387.679719
33.627695,4372.208578
32.650079,4252.540070
32.632691,4210.343474
33.363254,4348.215802
33.361998,4335.930244
32.469730,4222.105070
32.881046,4209.918627
33.837718,4413.830015
33.289437,4322.345221
33.137974,4278.998207
33.132966,4283.087557
32.504317,4191.027338
32.181055,4125.656136
32.672682,4254.333271
32.222663,4169.673841
33.631486,4396.905156
33.382810,4353.845382
32.278967,4212.214775
33.586439,4344.798775
32.863909,4223.289758
32.861826,4257.945969
32.539712,4158.079942
33.461288,4333.506813
33.823535,4406.273401
32.379677,4158.999295
33.142237,4276.756899
33.092001,4298.908383
31.815003,4132.679717
33.010041,4269.153822
33.654437,4376.416342
32.057091,4096.634380
32.301598,4137.355115
32.534355,4199.606002
