condition,D_SGC,D_null_mean,D_null_std,D_z_score,D_count_le,D_p_value,E_SGC,E_null_mean,E_null_std,E_z_score,E_count_le,E_p_value,DE_correlation,n_null_samples
A: 10-AA doublet (n=2),18.937299,21.777672,0.746706,-3.803872,82,0.000083,621.928252,712.704401,27.303491,-3.324709,457,0.000458,0.932127,1000000
B: 20-AA SGC (n=3),23.922360,32.822894,0.537459,-16.560386,0,0.000001,2984.675407,4243.238919,86.176436,-14.604497,0,0.000001,0.958581,1000000
C: 10-AA triplet (n=3),21.268640,30.916954,0.651508,-14.809204,0,0.000001,2709.616421,3933.718915,91.667788,-13.353682,0,0.000001,0.958341,1000000
