D,E
22.856371,744.937427
21.639939,727.458380
21.679518,716.228270
23.291445,773.050620
21.941237,720.871559
21.312473,694.905563
20.753734,677.351749
22.511579,722.474733
22.308504,723.850633
21.591882,700.047186
21.019992,676.475485
22.707944,751.700095
22.965530,748.964232
22.467606,732.064653
20.884995,693.460452
22.893820,757.448272
21.257600,692.185969
21.718248,682.610009
22.135915,715.063852
22.462188,728.555345
22.469810,722.422671
20.940267,688.389794
21.557787,691.138572
20.410879,662.604177
21.283463,685.517740
21.340212,711.138927
22.688800,744.326723
21.524148,704.978042
19.672875,650.294974
22.606178,724.862407
22.002862,732.476351
20.804919,711.210996
22.211774,720.297728
21.453167,687.208470
22.937615,752.050103
22.093288,727.970993
20.975360,690.259922
21.903514,699.927424
21.410472,692.097112
22.041779,711.863814
22.423068,744.552344
23.493603,768.202080
21.357526,698.381073
22.697484,745.150070
21.298049,708.248115
21.595594,707.968762
22.819813,756.499796
22.073838,710.130007
20.789126,668.688746
21.398928,699.868582
20.870162,668.769378
21.588074,711.378879
23.118190,747.581580
22.519371,736.410383
20.333113,661.729697
22.054929,725.660698
22.435211,736.360856
22.772998,754.776215
21.715368,720.337134
21.223912,688.680440
19.550027,627.850589
21.130396,678.480602
21.312782,692.936164
21.258497,704.946919
21.869101,714.055917
22.983979,737.361453
21.350761,705.050524
20.976014,702.142347
20.636863,685.226734
20.049994,642.636901
21.047728,707.403324
22.782355,742.552719
22.097024,723.857938
21.629421,711.630723
21.313579,703.065014
22.670973,764.984462
20.870241,679.652532
22.399084,746.480007
21.565515,707.452420
22.594761,763.668457
21.400691,698.685628
23.113450,763.375813
20.857702,680.062316
22.972744,765.545037
21.724205,717.973943
21.887262,712.259812
21.482492,701.257241
20.724276,686.980368
21.588346,688.344047
20.677613,668.659214
21.900496,715.434805
22.529194,739.307396
22.206576,717.984264
21.767886,722.171398
22.369130,728.804544
21.677985,698.272787
22.876003,758.158690
21.866710,733.016348
22.606221,743.779299
22.830149,746.391066
21.090950,692.099380
21.248949,686.477142
21.193731,684.105196
21.913371,699.954938
21.594307,701.270999
22.147062,728.631723
21.698565,730.451233
21.981695,704.545460
20.910524,671.656693
21.981443,719.877918
20.577403,665.016013
21.493881,687.677666
22.388371,740.397559
21.933567,712.911211
21.151493,698.464384
20.790325,689.807239
20.137739,668.903259
21.571430,706.386161
20.893886,680.880338
19.855254,652.224747
22.606110,755.852741
21.271008,693.811366
20.954215,682.965344
22.946393,747.673874
20.523337,688.578854
21.895897,702.184756
22.212691,731.703959
21.765595,704.809326
21.899453,716.497120
21.224043,684.670496
22.485236,733.894997
21.537389,705.990081
21.532061,719.356747
21.851893,723.438037
21.359054,696.728790
22.296297,744.675375
22.112437,725.611893
20.510428,658.987164
21.451851,710.069103
21.483193,722.315382
23.246178,752.256066
22.817341,735.480325
19.119492,620.016226
21.818496,694.941196
22.524548,725.511556
22.630657,740.721054
21.758467,720.235913
20.823632,693.741147
21.346581,702.285571
21.949482,718.537694
22.736390,749.563966
21.012716,670.981616
22.319071,721.887093
21.482769,704.792755
21.641399,718.812374
22.938469,764.183952
22.321392,729.124172
23.056082,756.089045
20.177846,648.321964
20.520885,668.932411
21.063450,691.375786
22.650931,746.394729
20.940329,688.145185
21.392637,716.769297
20.746516,669.815822
21.108755,696.327942
22.789830,740.211741
21.257252,686.572156
21.648651,694.592422
20.967340,680.632264
23.966825,784.994708
22.955543,749.782889
22.137897,726.302204
21.887039,714.580425
22.112669,712.345110
21.292042,702.663230
21.088856,696.752021
22.816407,753.076893
21.271360,711.479100
22.300091,722.273970
21.075133,675.753732
21.768023,703.673610
20.536524,664.973174
21.724111,701.956332
20.905038,685.201783
22.023954,737.460381
23.435986,763.354535
22.245609,715.003209
21.374638,709.423186
22.541418,738.269194
22.314950,724.549014
21.681866,714.492841
20.954830,685.615461
21.590691,699.617910
22.512358,752.782597
20.787447,657.015382
22.210415,719.141047
22.811793,740.307349
21.223520,698.811838
21.046609,688.093648
22.061689,725.133751
22.196832,717.310736
21.005510,692.589858
21.459291,698.297753
21.883086,716.923711
22.262694,720.623624
22.649116,730.515206
23.226597,752.058821
22.690906,765.765168
22.568298,740.274277
21.102069,680.419981
20.894021,700.222565
22.257694,738.291322
22.455369,734.725497
21.581193,690.367188
21.366709,691.812192
22.487731,721.049854
22.767475,739.185613
22.542392,740.899947
21.480632,715.417504
22.265667,739.677301
22.087701,711.592958
21.507556,698.841558
21.900714,732.593146
19.703620,652.522091
21.318047,693.025531
20.077648,674.601310
20.637024,662.720172
21.131788,699.475069
22.017380,718.666259
21.219115,673.690254
21.662422,714.501286
22.350167,741.186506
21.620966,706.040133
21.636795,726.321503
21.243314,673.032913
21.898228,712.025445
20.952885,685.358683
22.341017,727.498198
23.043287,756.728861
22.253671,713.836442
21.478220,684.474312
22.447310,734.858860
21.012075,686.798617
21.210427,698.125303
21.346107,689.396970
21.414379,714.536276
22.678615,749.725992
21.199803,681.900231
20.829409,677.729874
20.788260,691.819585
22.170141,715.602164
21.161522,685.363997
22.360585,726.470512
21.400260,700.369975
21.970940,719.028547
20.303098,661.036125
21.157497,698.056143
22.258010,737.433104
21.448331,698.579948
22.226340,718.582083
22.522141,751.211457
21.451811,715.493067
21.686037,720.019495
21.939812,716.137125
21.387518,693.118065
23.088900,743.509340
23.426212,764.875831
21.564715,694.704992
22.658101,745.592185
23.201176,745.450521
22.357722,730.181965
21.488342,704.452945
22.332223,725.798255
22.458246,730.030089
21.532032,704.314875
22.498372,734.867005
22.145112,728.316826
22.412403,744.493556
21.765632,737.716865
20.443728,666.232559
21.823298,722.703259
22.493353,736.078105
22.424466,727.514706
21.195757,687.945222
22.445620,719.068773
20.644405,664.312816
20.697366,671.535023
21.562497,692.873832
22.845987,743.144757
21.880104,712.865764
22.687056,730.868493
22.124884,731.442867
22.525530,736.347038
22.279354,727.046689
21.399864,702.112010
21.946703,722.802676
21.896550,718.554296
21.115475,675.911302
20.834457,678.567512
20.533388,672.175744
22.055973,722.592952
20.381967,678.184587
20.605141,683.237882
21.056269,693.461133
22.011072,720.463630
21.595461,710.107317
22.807566,739.645078
21.815989,726.647043
21.847955,715.244739
21.496418,703.302651
22.418300,726.633534
21.532755,706.628428
20.851077,693.549552
22.905019,751.347933
21.894513,709.647860
23.790761,770.223408
22.693984,747.524078
22.746767,752.664254
20.738961,651.359355
22.122961,730.913977
21.532355,698.051657
22.555368,729.767052
21.878957,727.124620
22.170154,729.620909
22.558678,740.601892
23.337270,770.480960
21.351057,709.424105
22.140128,713.326897
21.530141,706.684332
23.698019,765.074780
21.646778,716.789837
22.462097,733.886507
20.211178,647.500222
21.380405,693.858303
21.982444,722.983485
21.645196,714.382870
23.093951,764.671033
21.167355,683.350040
21.884456,742.178854
22.713368,734.814484
22.737682,740.880307
21.563690,694.410646
21.313920,712.408130
21.079645,683.912237
22.104277,726.141225
20.997613,685.935966
20.408353,653.403071
21.763364,690.290517
20.651739,680.302736
22.504918,735.877927
21.771329,730.062083
20.486028,672.601011
20.911305,680.645626
21.409411,691.649741
22.357661,710.008385
22.192384,731.851914
21.358516,699.017107
22.905386,744.148031
20.979061,673.104307
22.246220,735.660697
21.730725,703.798341
22.035372,711.618996
21.868071,712.906506
22.425421,731.236723
22.831348,741.152036
20.729990,691.380719
22.779504,753.724255
21.070364,691.507249
21.999169,737.665631
20.137563,663.480460
21.814085,743.177598
21.653352,708.332667
22.890127,763.018738
21.129460,683.091804
21.253221,692.389526
20.156678,650.991580
22.706102,747.142015
21.247479,703.427296
21.262196,681.447380
20.835106,694.867888
20.737858,687.699858
20.636331,664.276636
20.920946,697.819872
21.822970,711.644594
21.788189,701.493326
22.477121,719.693744
23.096397,759.304376
21.339839,675.678080
21.857436,715.848972
21.467267,705.965629
22.388160,733.796332
22.773327,742.196964
21.377138,697.553087
23.150110,744.269865
21.597402,711.235088
21.825389,696.079975
22.363756,740.394005
20.168576,647.977292
21.654958,700.339082
21.604726,692.442869
22.522881,749.307958
22.319665,722.399952
22.340582,728.103163
21.742892,695.496920
22.416566,727.865157
22.476061,736.508704
22.200135,714.882290
22.978757,767.464469
21.662717,715.275962
22.524756,753.001088
22.355545,734.194682
22.178600,726.665796
21.660974,730.953287
22.173090,717.479468
21.932337,729.115446
